frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 0.71, 0.25, 0.42, 0.00, 0.13, 0.18, 0.22, 0.81, 0.97, 0.00, 0.14, 0.68, 0.00, 0.00, 0.00, 0.00, 0.79, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
2, 0, 0.033, 0.98, 1, 0.74, 0.22, 0.47, 0.00, 0.16, 0.43, 0.28, 0.81, 0.93, 0.00, 0.13, 0.73, 0.00, 0.00, 0.00, 0.00, 0.81, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
3, 0, 0.067, 0.98, 1, 0.76, 0.21, 0.51, 0.00, 0.18, 0.56, 0.31, 0.82, 0.90, 0.00, 0.11, 0.75, 0.00, 0.00, 0.00, 0.00, 0.85, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
4, 0, 0.100, 0.98, 1, 0.75, 0.24, 0.54, 0.00, 0.19, 0.58, 0.31, 0.82, 0.90, 0.00, 0.08, 0.74, 0.00, 0.00, 0.00, 0.00, 0.93, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
5, 0, 0.133, 0.98, 1, 0.77, 0.21, 0.55, 0.00, 0.20, 0.56, 0.30, 0.83, 0.90, 0.00, 0.08, 0.72, 0.00, 0.00, 0.00, 0.00, 0.97, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
6, 0, 0.167, 0.98, 1, 0.66, 0.14, 0.40, 0.00, 0.14, 0.37, 0.30, 0.55, 0.66, 0.00, 0.05, 0.78, 0.00, 0.32, 0.00, 0.00, 0.66, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
7, 0, 0.200, 0.88, 1, 0.61, 0.08, 0.30, 0.00, 0.08, 0.19, 0.27, 0.29, 0.42, 0.00, 0.06, 0.86, 0.00, 0.72, 0.00, 0.00, 0.33, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
8, 0, 0.234, 0.88, 1, 0.96, 0.00, 0.16, 0.00, 0.00, 0.00, 0.48, 0.01, 0.12, 0.00, 0.03, 0.93, 0.00, 1.02, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
9, 0, 0.267, 0.98, 1, 1.30, 0.00, 0.42, 0.00, 0.00, 0.00, 0.72, 0.01, 0.07, 0.00, 0.03, 1.09, 0.03, 1.02, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
10, 0, 0.300, 0.98, 1, 1.55, 0.00, 0.61, 0.00, 0.00, 0.00, 0.98, 0.00, 0.00, 0.00, 0.00, 1.21, 0.05, 0.96, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
