frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.27, 0.00, 1.61, 1.25, 0.26, 0.97, 1.91, 1.20, 0.00, 0.03, 0.14, 1.01, 0.29, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00
2, 0, 0.040, 0.98, 1, 0.00, 0.00, 0.26, 0.00, 1.52, 1.51, 0.09, 1.02, 2.01, 1.33, 0.00, 0.14, 0.32, 1.36, 0.10, 0.19, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3, 0, 0.080, 0.98, 1, 0.00, 0.00, 0.23, 0.00, 1.45, 1.63, 0.00, 1.03, 2.03, 1.37, 0.00, 0.24, 0.43, 1.47, 0.00, 0.39, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4, 0, 0.120, 0.98, 1, 0.00, 0.00, 0.15, 0.00, 1.38, 1.62, 0.00, 1.05, 2.00, 1.36, 0.00, 0.35, 0.49, 1.34, 0.00, 0.51, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5, 0, 0.160, 0.98, 1, 0.00, 0.00, 0.22, 0.00, 1.36, 1.57, 0.00, 1.10, 2.01, 1.48, 0.00, 0.41, 0.58, 1.25, 0.00, 0.51, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
6, 0, 0.200, 0.98, 1, 0.00, 0.00, 0.29, 0.00, 1.37, 1.55, 0.02, 1.15, 2.01, 1.57, 0.00, 0.42, 0.69, 1.21, 0.00, 0.35, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
7, 0, 0.240, 0.98, 1, 0.00, 0.00, 0.40, 0.00, 1.40, 1.61, 0.04, 1.18, 1.99, 1.55, 0.00, 0.42, 0.74, 1.18, 0.00, 0.16, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
8, 0, 0.280, 0.98, 1, 0.00, 0.00, 0.37, 0.00, 1.42, 1.69, 0.12, 1.21, 1.95, 1.56, 0.00, 0.47, 0.83, 1.14, 0.00, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
9, 0, 0.320, 0.98, 1, 0.00, 0.00, 0.37, 0.00, 1.43, 1.70, 0.17, 1.22, 1.92, 1.56, 0.00, 0.57, 0.87, 1.11, 0.00, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
10, 0, 0.360, 0.98, 1, 0.00, 0.00, 0.33, 0.00, 1.42, 1.67, 0.22, 1.24, 1.88, 1.58, 0.00, 0.62, 0.94, 1.09, 0.00, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
11, 0, 0.400, 0.98, 1, 0.00, 0.00, 0.33, 0.00, 1.42, 1.66, 0.24, 1.29, 1.88, 1.51, 0.00, 0.63, 0.99, 1.08, 0.00, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
