frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.33, 0.51, 0.00, 0.00, 0.27, 1.18, 0.35, 0.23, 0.30, 0.55, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
2, 0, 0.037, 0.98, 1, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 0.29, 0.72, 0.01, 0.25, 0.50, 1.05, 0.25, 0.08, 0.23, 0.48, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
3, 0, 0.074, 0.98, 1, 0.00, 0.00, 0.02, 0.00, 0.00, 0.00, 0.23, 0.81, 0.03, 0.35, 0.62, 0.94, 0.22, 0.00, 0.23, 0.43, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
4, 0, 0.111, 0.98, 1, 0.00, 0.00, 0.02, 0.00, 0.00, 0.00, 0.18, 0.89, 0.03, 0.26, 0.60, 0.97, 0.30, 0.00, 0.22, 0.38, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
5, 0, 0.148, 0.98, 1, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 0.14, 1.00, 0.02, 0.26, 0.56, 1.08, 0.31, 0.00, 0.13, 0.41, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
6, 0, 0.185, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.13, 1.06, 0.00, 0.27, 0.59, 1.15, 0.33, 0.00, 0.06, 0.39, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
7, 0, 0.222, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.14, 0.98, 0.00, 0.38, 0.61, 1.09, 0.31, 0.00, 0.07, 0.37, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
8, 0, 0.259, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.18, 0.84, 0.00, 0.44, 0.63, 1.06, 0.29, 0.00, 0.11, 0.33, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
9, 0, 0.296, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.22, 0.76, 0.00, 0.45, 0.60, 1.04, 0.27, 0.00, 0.14, 0.32, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
10, 0, 0.333, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.15, 0.77, 0.00, 0.51, 0.67, 0.94, 0.24, 0.00, 0.26, 0.29, 0.39, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
